PRCP       082068 19090101 20180131 missing_value=99999.9 MITTA MITTA FORESTRY                      
19400801 19400831    23.8
19400901 19400930    81.8
19401001 19401031    15.8
19401101 19401130    41.2
19401201 19401231    73.8
19410101 19410131   250.1
19410201 19410228    13.4
19410301 19410331   209.1
19410401 19410430     8.9
19410501 19410531    30.4
19410601 19410630    90.6
19410701 19410731   125.6
19410801 19410831    37.7
19410901 19410930    91.0
19411001 19411031    79.8
19411101 19411130    54.4
19411201 19411231    27.2
19420101 19420131    63.6
19420201 19420228    52.2
19420301 19420331    48.0
19420401 19420430    65.1
19420501 19420531   183.8
19420601 19420630   159.8
19420701 19420731   149.1
19420801 19420831   196.0
19420901 19420930    94.7
19421001 19421031    40.6
19421101 19421130    24.7
19421201 19421231    30.1
19430101 19430131    57.6
19430201 19430228     0.7
19430301 19430331     0.0
19430401 19430430   111.4
19430501 19430531    22.1
19430601 19430630   109.3
19430701 19430731   109.6
19430801 19430831    90.7
19430901 19430930    49.8
19431001 19431031    40.4
19431101 19431130    33.9
19431201 19431231    18.0
19440101 19440131     7.2
19440201 19440229    23.1
19440301 19440331    20.0
19440401 19440430    80.4
19440501 19440531   123.3
19440601 19440630    40.9
19440701 19440731    74.5
19440801 19440831     7.8
19440901 19440930    21.6
19441001 19441031    17.7
19441101 19441130    29.9
19441201 19441231    32.9
19450101 19450131    57.3
19450201 19450228     7.4
19450301 19450331     5.8
19450401 19450430     9.7
19450501 19450531    43.9
19450601 19450630   194.8
19450701 19450731    67.4
19450801 19450831   119.9
19450901 19450930    31.0
19451001 19451031    93.9
19451101 19451130   101.6
19451201 19451231     8.6
19460101 19460131    77.3
19460201 19460228   184.1
19460301 19460331    60.6
19460401 19460430    54.4
19460501 19460531    61.1
19460601 19460630    65.1
19460701 19460731   207.2
19460801 19460831    85.5
19460901 19460930    21.2
19461001 19461031    75.4
19461101 19461130    85.0
19461201 19461231    53.8
19470101 19470131    16.7
19470201 19470228    42.8
19470301 19470331   124.6
19470401 19470430    33.0
19470501 19470531    43.5
19470601 19470630   120.3
19470701 19470731   232.2
19470801 19470831   118.9
19470901 19470930   129.4
19471001 19471031   162.5
19471101 19471130    65.0
19471201 19471231   129.4
19480101 19480131     4.5
19480201 19480229    87.9
19480301 19480331     3.9
19480401 19480430    65.5
19480501 19480531   134.4
19480601 19480630   117.7
19480701 19480731    87.9
19480801 19480831    56.9
19480901 19480930    59.8
19481001 19481031   114.2
19481101 19481130   104.2
19481201 19481231    62.2
19490101 19490131    18.4
19490201 19490228    49.3
19490301 19490331   127.3
19490401 19490430    25.6
19490501 19490531    69.8
19490601 19490630    32.8
19490701 19490731    78.1
19490801 19490831    38.5
19490901 19490930   103.7
19491001 19491031   205.9
19491101 19491130   129.2
19491201 19491231    11.3
19500101 19500131     3.6
19500201 19500228   119.5
19500301 19500331   212.0
19500401 19500430    31.4
19500501 19500531   131.3
19500601 19500630    29.6
19500701 19500731   112.5
19500801 19500831    54.0
19500901 19500930   113.0
19501001 19501031   150.5
19501101 19501130    56.6
19501201 19501231    43.3
19510101 19510131    39.1
19510201 19510228    41.1
19510301 19510331     0.0
19510401 19510430   101.8
19510501 19510531   184.1
19510601 19510630   141.2
19510701 19510731   220.6
19510801 19510831   128.8
19510901 19510930    29.2
19511001 19511031    93.1
19511101 19511130    41.2
19511201 19511231    36.7
19520101 19520131    26.1
19520201 19520229     5.5
19520301 19520331    35.0
19520401 19520430   141.7
19520501 19520531   176.7
19520601 19520630   188.9
19520701 19520731   150.8
19520801 19520831   101.8
19520901 19520930   145.4
19521001 19521031   121.1
19521101 19521130   145.0
19521201 19521231    53.3
19530101 19530131    75.5
19530201 19530228    21.6
19530301 19530331     6.1
19530401 19530430    27.3
19530501 19530531    81.3
19530601 19530630   191.9
19530701 19530731   168.5
19530801 19530831   136.4
19530901 19530930   146.2
19531001 19531031   106.5
19531101 19531130   101.2
19531201 19531231    47.4
19540101 19540131    97.5
19540201 19540228    71.7
19540301 19540331    11.8
19540401 19540430    95.1
19540501 19540531    41.7
19540601 19540630    86.3
19540701 19540731    73.2
19540801 19540831   106.3
19540901 19540930    67.1
19541001 19541031    99.7
19541101 19541130   181.7
19541201 19541231   148.3
19550101 19550131    58.2
19550201 19550228   153.0
19550301 19550331   114.6
19550401 19550430    14.7
19550501 19550531    75.7
19550601 19550630   179.9
19550701 19550731   150.8
19550801 19550831   299.1
19550901 19550930   130.2
19551001 19551031   214.5
19551101 19551130    86.0
19551201 19551231    76.5
19560101 19560131   123.3
19560201 19560229    51.5
19560301 19560331   212.3
19560401 19560430   280.1
19560501 19560531   154.6
19560601 19560630   229.6
19560701 19560731   174.5
19560801 19560831   133.7
19560901 19560930   131.5
19561001 19561031   137.8
19561101 19561130    61.0
19561201 19561231    43.4
19570101 19570131     0.0
19570201 19570228    30.8
19570301 19570331    72.6
19570401 19570430    34.6
19570501 19570531    49.1
19570601 19570630   143.3
19570701 19570731    90.4
19570801 19570831    60.6
19570901 19570930    51.9
19571001 19571031   110.9
19571101 19571130    45.0
19571201 19571231   109.2
19580101 19580131    19.3
19580201 19580228    31.5
19580301 19580331    57.6
19580401 19580430    47.8
19580501 19580531   198.6
19580601 19580630    57.2
19580701 19580731   229.8
19580801 19580831   196.6
19580901 19580930    88.2
19581001 19581031   212.0
19581101 19581130    74.1
19581201 19581231    40.6
19590101 19590131    17.6
19590201 19590228   104.6
19590301 19590331   113.0
19590401 19590430    86.9
19590501 19590531    15.5
19590601 19590630    65.7
19590701 19590731    44.6
19590801 19590831   113.1
19590901 19590930   129.0
19591001 19591031   105.2
19591101 19591130    55.9
19591201 19591231    58.7
19600101 19600131    71.9
19600201 19600229    33.8
19600301 19600331    33.6
19600401 19600430   122.8
19600501 19600531   260.4
19600601 19600630    66.4
19600701 19600731   208.7
19600801 19600831   101.3
19600901 19600930   139.8
19601001 19601031    78.0
19601101 19601130   120.2
19601201 19601231    53.4
19610101 19610131    25.1
19610201 19610228    17.0
19610301 19610331    61.8
19610401 19610430    98.1
19610501 19610531    29.7
19610601 19610630   106.1
19610701 19610731   127.3
19610801 19610831   110.4
19610901 19610930    45.0
19611001 19611031    57.7
19611101 19611130   122.8
19611201 19611231   136.3
19620101 19620131    89.6
19620201 19620228    26.9
19620301 19620331    23.5
19620401 19620430    58.7
19620501 19620531   186.4
19620601 19620630   117.3
19620701 19620731    65.5
19620801 19620831   141.3
19620901 19620930   113.1
19621001 19621031    90.9
19621101 19621130    58.2
19621201 19621231    97.1
19630101 19630131   125.0
19630201 19630228    29.0
19630301 19630331    39.4
19630401 19630430    12.7
19630501 19630531   110.9
19630601 19630630    65.0
19630701 19630731   116.6
19630801 19630831   131.7
19630901 19630930   126.5
19631001 19631031   107.8
19631101 19631130    66.9
19631201 19631231    37.0
19640101 19640131    17.3
19640201 19640229    33.3
19640301 19640331    51.9
19640401 19640430   144.1
19640501 19640531    84.7
19640601 19640630   161.9
19640701 19640731   298.2
19640801 19640831    91.4
19640901 19640930   161.3
19641001 19641031   168.9
19641101 19641130    20.8
19641201 19641231   117.0
19650101 19650131     5.6
19650201 19650228     2.8
19650301 19650331    19.3
19650401 19650430    45.5
19650501 19650531    71.2
19650601 19650630    20.4
19650701 19650731   106.8
19650801 19650831   174.7
19650901 19650930   109.5
19651001 19651031    81.3
19651101 19651130    84.6
19651201 19651231    54.0
19660101 19660131    35.4
19660201 19660228    68.5
19660301 19660331    63.8
19660401 19660430    28.4
19660501 19660531   111.6
19660601 19660630    79.8
19660701 19660731   155.0
19660801 19660831   110.1
19660901 19660930   175.6
19661001 19661031   116.1
19661101 19661130    94.7
19661201 19661231   164.1
19670101 19670131    31.8
19670201 19670228    16.8
19670301 19670331    29.9
19670401 19670430     5.1
19670501 19670531    54.4
19670601 19670630    37.8
19670701 19670731    70.2
19670801 19670831   125.1
19670901 19670930    52.2
19671001 19671031    76.0
19671101 19671130     4.9
19671201 19671231    17.4
19680101 19680131    24.4
19680201 19680229    21.1
19680301 19680331    24.1
19680401 19680430    93.9
19680501 19680531   249.6
19680601 19680630   113.8
19680701 19680731    61.3
19680801 19680831   157.8
19680901 19680930    45.4
19681001 19681031   144.9
19681101 19681130    87.7
19681201 19681231    71.3
19690101 19690131    26.5
19690201 19690228    80.5
19690301 19690331   140.2
19690401 19690430    60.3
19690501 19690531   124.9
19690601 19690630    32.1
19690701 19690731   179.8
19690801 19690831    55.8
19690901 19690930   128.1
19691001 19691031    55.9
19691101 19691130    46.8
19691201 19691231    71.2
19700101 19700131    95.8
19700201 19700228    49.8
19700301 19700331    56.6
19700401 19700430   166.7
19700501 19700531    83.7
19700601 19700630    79.8
19700701 19700731    93.2
19700801 19700831   226.1
19700901 19700930   112.4
19701001 19701031    39.2
19701101 19701130   159.2
19701201 19701231    60.8
19710101 19710131    45.0
19710201 19710228    87.4
19710301 19710331    27.0
19710401 19710430    86.3
19710501 19710531   131.1
19710601 19710630    70.2
19710701 19710731    72.5
19710801 19710831   123.3
19710901 19710930    83.7
19711001 19711031    82.8
19711101 19711130   214.4
19711201 19711231   112.7
19720101 19720131    64.5
19720201 19720229    84.3
19720301 19720331    25.2
19720401 19720430    49.6
19720501 19720531    49.8
19720601 19720630    54.9
19720701 19720731    88.8
19720801 19720831   115.9
19720901 19720930    37.2
19721001 19721031    23.4
19721101 19721130    47.7
19721201 19721231     0.5
19730101 19730131   102.9
19730201 19730228   221.7
19730301 19730331   100.5
19730401 19730430   143.9
19730501 19730531    90.0
19730601 19730630   152.8
19730701 19730731   115.4
19730801 19730831   175.0
19730901 19730930   127.7
19731001 19731031   171.4
19731101 19731130    64.8
19731201 19731231    66.3
19740101 19740131   192.2
19740201 19740228    62.0
19740301 19740331    20.2
19740401 19740430   182.6
19740501 19740531   136.0
19740601 19740630    80.2
19740701 19740731   238.2
19740801 19740831   121.2
19740901 19740930   115.0
19741001 19741031   186.6
19741101 19741130    77.7
19741201 19741231    31.2
19750101 19750131    51.0
19750201 19750228    35.1
19750301 19750331    44.1
19750401 19750430    28.4
19750501 19750531   162.1
19750601 19750630    31.8
19750701 19750731   154.7
19750801 19750831   170.2
19750901 19750930   227.3
19751001 19751031   200.5
19751101 19751130    63.2
19751201 19751231   156.2
19760101 19760131    24.0
19760201 19760229    43.8
19760301 19760331    18.2
19760401 19760430    20.8
19760501 19760531    28.2
19760601 19760630    49.4
19760701 19760731    56.8
19760801 19760831    81.6
19760901 19760930    98.9
19761001 19761031   133.9
19761101 19761130    79.1
19761201 19761231    89.0
19770101 19770131    60.4
19770201 19770228    69.8
19770301 19770331   102.6
19770401 19770430    21.6
19770501 19770531   154.8
19770601 19770630   128.8
19770701 19770731    65.8
19770801 19770831    49.0
19770901 19770930    39.2
19771001 19771031    24.0
19771101 19771130    45.2
19771201 19771231     4.7
19780101 19780131    53.1
19780201 19780228     3.2
19780301 19780331   115.5
19780401 19780430    94.2
19780501 19780531   159.4
19780601 19780630    93.4
19780701 19780731   169.8
19780801 19780831   101.8
19780901 19780930   152.0
19781001 19781031   103.0
19781101 19781130   127.2
19781201 19781231   103.6
19790101 19790131     9.3
19790201 19790228     0.0
19790301 19790331    37.9
19790401 19790430    67.8
19790501 19790531    75.0
19790601 19790630    87.6
19790701 19790731    48.3
19790801 19790831   121.7
19790901 19790930   225.8
19791001 19791031   121.8
19791101 19791130    54.2
19791201 19791231     3.8
19800101 19800131    38.7
19800201 19800229    12.4
19800301 19800331    45.2
19800401 19800430    54.4
19800501 19800531    81.6
19800601 19800630   124.2
19800701 19800731   132.3
19800801 19800831   108.4
19800901 19800930   108.6
19801001 19801031   104.3
19801101 19801130    39.4
19801201 19801231   156.5
19810101 19810131    56.4
19810201 19810228    90.2
19810301 19810331    32.2
19810401 19810430     8.0
19810501 19810531    85.0
19810601 19810630   291.6
19810701 19810731   237.2
19810801 19810831   203.2
19810901 19810930    65.5
19811001 19811031    60.4
19811101 19811130    57.2
19811201 19811231    58.8
19820101 19820131    64.0
19820201 19820228     1.0
19820301 19820331    74.5
19820401 19820430    34.8
19820501 19820531   101.3
19820601 19820630    44.1
19820701 19820731    26.2
19820801 19820831    35.8
19820901 19820930    70.8
19821001 19821031    12.0
19821101 19821130    10.8
19821201 19821231    14.6
19830101 19830131    23.8
19830201 19830228    17.6
19830301 19830331    83.2
19830401 19830430    88.4
19830501 19830531   180.0
19830601 19830630    75.2
19830701 19830731   129.7
19830801 19830831   186.6
19830901 19830930   185.0
19831001 19831031    91.6
19831101 19831130   108.6
19831201 19831231    73.4
19840101 19840131   227.4
19840201 19840229    58.0
19840301 19840331    46.8
19840401 19840430    41.0
19840501 19840531    27.8
19840601 19840630    24.4
19840701 19840731    99.4
19840801 19840831   227.2
19840901 19840930   104.2
19841001 19841031   108.3
19841101 19841130    10.4
19841201 19841231    14.8
19850101 19850131    21.2
19850201 19850228     3.8
19850301 19850331    63.4
19850401 19850430    78.2
19850501 19850531   115.0
19850601 19850630    70.8
19850701 19850731    72.0
19850801 19850831   229.4
19850901 19850930    26.4
19851001 19851031    74.6
19851101 19851130    82.4
19851201 19851231    79.2
19860101 19860131    14.2
19860201 19860228    15.6
19860301 19860331     2.2
19860401 19860430    36.0
19860501 19860531    79.8
19860601 19860630    52.4
19860701 19860731   319.2
19860801 19860831   108.8
19860901 19860930    68.7
19861001 19861031   221.6
19861101 19861130    58.6
19861201 19861231    67.4
19870101 19870131    55.4
19870201 19870228    71.2
19870301 19870331    55.0
19870401 19870430    62.4
19870501 19870531   105.8
19870601 19870630   150.6
19870701 19870731   117.6
19870801 19870831    76.0
19870901 19870930    51.4
19871001 19871031    60.2
19871101 19871130    61.4
19871201 19871231    72.4
19880101 19880131    24.6
19880201 19880229    20.0
19880301 19880331    39.0
19880401 19880430    15.8
19880501 19880531   211.0
19880601 19880630   142.8
19880701 19880731   146.6
19880801 19880831    53.4
19880901 19880930    90.6
19881001 19881031    54.4
19881101 19881130   131.0
19881201 19881231   175.4
19890101 19890131    18.8
19890201 19890228     5.6
19890301 19890331   179.8
19890401 19890430   111.6
19890501 19890531   157.8
19890601 19890630    91.2
19890701 19890731    95.0
19890801 19890831   117.2
19890901 19890930    54.2
19891001 19891031   107.8
19891101 19891130    87.0
19891201 19891231    57.8
19900101 19900131    32.6
19900201 19900228    53.0
19900301 19900331    26.0
19900401 19900430   137.0
19900501 19900531    90.2
19900601 19900630   114.9
19900701 19900731   279.8
19900801 19900831   156.6
19900901 19900930    63.2
19901001 19901031   121.6
19901101 19901130    19.8
19901201 19901231    14.8
19910101 19910131   137.0
19910201 19910228     1.6
19910301 19910331    19.6
19910401 19910430    23.6
19910501 19910531    12.4
19910601 19910630   182.6
19910701 19910731   143.4
19910801 19910831   243.2
19910901 19910930   116.6
19911001 19911031    12.8
19911101 19911130    26.0
19911201 19911231    65.6
19920101 19920131    81.0
19920201 19920229    44.2
19920301 19920331    53.2
19920401 19920430    77.4
19920501 19920531    48.0
19920601 19920630    96.8
19920701 19920731    66.0
19920801 19920831   196.4
19920901 19920930   206.2
19921001 19921031   201.0
19921101 19921130   146.6
19921201 19921231   110.6
19930101 19930131   127.2
19930201 19930228    48.2
19930301 19930331   130.0
19930401 19930430    12.6
19930501 19930531    45.4
19930601 19930630    62.2
19930701 19930731   235.4
19930801 19930831    77.0
19930901 19930930   143.0
19931001 19931031   158.0
19931101 19931130   122.8
19931201 19931231   196.8
19940101 19940131    52.6
19940201 19940228   173.8
19940301 19940331    44.6
19940401 19940430    47.2
19940501 19940531    64.8
19940601 19940630   129.0
19940701 19940731    34.4
19940801 19940831    39.6
19940901 19940930    22.6
19941001 19941031    64.4
19941101 19941130   117.4
19941201 19941231    37.0
19950101 19950131   186.0
19950201 19950228    36.0
19950301 19950331     4.4
19950401 19950430    75.6
19950501 19950531   190.8
19950601 19950630   159.6
19950701 19950731   216.2
19950801 19950831    44.0
19950901 19950930   101.2
19951001 19951031   112.4
19951101 19951130   101.0
19951201 19951231    32.4
19960101 19960131   132.2
19960201 19960229    64.4
19960301 19960331    72.8
19960401 19960430    46.2
19960501 19960531    44.2
19960601 19960630   123.2
19960701 19960731   125.4
19960801 19960831   149.0
19960901 19960930   195.2
19961001 19961031   141.2
19961101 19961130    62.8
19961201 19961231    65.4
19970101 19970131    82.0
19970201 19970228    13.2
19970301 19970331    56.0
19970401 19970430     6.2
19970501 19970531    96.0
19970601 19970630    41.8
19970701 19970731    36.4
19970801 19970831    92.8
19970901 19970930   110.2
19971001 19971031    32.6
19971101 19971130    74.2
19971201 19971231    24.4
19980101 19980131    24.0
19980201 19980228    33.2
19980301 19980331     2.4
19980401 19980430   117.4
19980501 19980531    18.2
19980601 19980630   112.0
19980701 19980731   141.0
19980801 19980831    81.0
19980901 19980930   176.8
19981001 19981031    99.0
19981101 19981130   138.4
19981201 19981231    29.6
19990101 19990131    83.0
19990201 19990228     7.0
19990301 19990331    60.0
19990401 19990430    24.4
19990501 19990531   146.4
19990601 19990630    94.4
19990701 19990731    67.8
19990801 19990831   167.8
19990901 19990930   118.8
19991001 19991031    95.2
19991101 19991130    77.2
19991201 19991231   202.2
20000101 20000131    18.0
20000201 20000229    59.2
20000301 20000331    73.2
20000401 20000430    61.0
20000501 20000531   241.0
20000601 20000630   136.4
20000701 20000731    98.8
20000801 20000831   153.8
20000901 20000930   160.8
20001001 20001031   152.0
20001101 20001130   125.0
20001201 20001231    25.6
20010101 20010131    36.6
20010201 20010228   108.6
20010301 20010331    83.8
20010401 20010430    30.4
20010501 20010531    27.0
20010601 20010630   128.2
20010701 20010731    62.8
20010801 20010831   160.4
20010901 20010930    74.2
20011001 20011031   160.4
20011101 20011130    45.4
20011201 20011231    33.0
20020101 20020131    41.0
20020201 20020228    69.2
20020301 20020331    56.2
20020401 20020430    21.2
20020501 20020531    59.0
20020601 20020630   138.2
20020701 20020731    60.4
20020801 20020831    59.8
20020901 20020930    89.6
20021001 20021031    20.8
20021101 20021130    49.0
20021201 20021231    22.6
20030101 20030131    10.2
20030201 20030228    17.2
20030301 20030331    12.2
20030401 20030430    36.6
20030501 20030531    70.0
20030601 20030630   113.6
20030701 20030731   185.2
20030801 20030831   196.8
20030901 20030930    87.4
20031001 20031031    85.8
20031101 20031130    44.8
20031201 20031231   146.8
20040101 20040131    43.2
20040201 20040229    16.6
20040301 20040331     4.2
20040401 20040430    28.6
20040501 20040531    63.4
20040601 20040630   169.0
20040701 20040731    89.4
20040801 20040831   119.6
20040901 20040930   104.0
20041001 20041031    29.2
20041101 20041130   148.0
20041201 20041231    84.2
20050101 20050131    78.8
20050201 20050228   105.4
20050301 20050331    18.4
20050401 20050430    22.8
20050501 20050531     6.2
20050601 20050630   181.6
20050701 20050731   109.6
