PRCP       013006 19200101 20171231 missing_value=99999.9 MILLROSE                                  
19340701 19340731     1.1
19340801 19340831     0.0
19340901 19340930     0.8
19341001 19341031     0.0
19341101 19341130     0.0
19341201 19341231    16.7
19350101 19350131    14.4
19350201 19350228    45.8
19350301 19350331    15.0
19350401 19350430     0.0
19350501 19350531     2.5
19350601 19350630     0.3
19350701 19350731     9.9
19350801 19350831     4.8
19350901 19350930     0.0
19351001 19351031    33.0
19351101 19351130    13.2
19351201 19351231     4.5
19360101 19360131     4.1
19360201 19360229     4.6
19360301 19360331     0.0
19360401 19360430     0.0
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    39.8
19361201 19361231     5.4
19370101 19370131    21.6
19370201 19370228     2.8
19370301 19370331    47.7
19370401 19370430     7.6
19370501 19370531     2.5
19370601 19370630     8.9
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     6.4
19371101 19371130    71.8
19371201 19371231     7.6
19380101 19380131    17.2
19380201 19380228    17.8
19380301 19380331     8.4
19380401 19380430     0.8
19380501 19380531    36.9
19380601 19380630    25.7
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     1.5
19381101 19381130     0.0
19381201 19381231    11.5
19390101 19390131    46.4
19390201 19390228     1.5
19390301 19390331    26.2
19390401 19390430    11.9
19390501 19390531    10.9
19390601 19390630    10.4
19390701 19390731     0.0
19390801 19390831     4.1
19390901 19390930     0.0
19391001 19391031     6.8
19391101 19391130     5.6
19391201 19391231    21.3
19400101 19400131    16.1
19400201 19400229     0.0
19400301 19400331     0.5
19400401 19400430     1.3
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     3.0
19400801 19400831    11.2
19400901 19400930     2.5
19401001 19401031     6.6
19401101 19401130     0.0
19401201 19401231    10.2
19410101 19410131     0.0
19410201 19410228    65.2
19410301 19410331     2.5
19410401 19410430    47.4
19410501 19410531    24.9
19410601 19410630     9.2
19410701 19410731    46.7
19410801 19410831    19.5
19410901 19410930     0.0
19411001 19411031    16.8
19411101 19411130    10.0
19411201 19411231    69.1
19420101 19420131   133.7
19420201 19420228     4.6
19420301 19420331   213.9
19420401 19420430     6.3
19420501 19420531   131.4
19420601 19420630    28.7
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231    48.5
19430101 19430131    13.5
19430201 19430228    11.2
19430301 19430331    25.2
19430401 19430430    43.7
19430501 19430531     0.0
19430601 19430630     5.3
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130     1.3
19431201 19431231     4.4
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331    13.2
19440401 19440430    36.3
19440501 19440531     1.5
19440601 19440630     6.4
19440701 19440731     1.8
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031    13.0
19441101 19441130    10.7
19441201 19441231     1.5
19450101 19450131    21.4
19450201 19450228     6.1
19450301 19450331    18.2
19450401 19450430     0.0
19450501 19450531     4.3
19450601 19450630    55.1
19450701 19450731    55.1
19450801 19450831     0.0
19450901 19450930     8.6
19451001 19451031     0.0
19451101 19451130     0.0
19451201 19451231    10.6
19460101 19460131    30.0
19460201 19460228    95.3
19460301 19460331    31.7
19460401 19460430    31.7
19460501 19460531    13.7
19460601 19460630    14.0
19460701 19460731    13.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     1.8
19461201 19461231     2.5
19470101 19470131    47.0
19470201 19470228   217.2
19470301 19470331    31.3
19470401 19470430     6.9
19470501 19470531    20.0
19470601 19470630     0.5
19470701 19470731    22.7
19470801 19470831    74.1
19470901 19470930     1.5
19471001 19471031    14.5
19471101 19471130     9.7
19471201 19471231    17.8
19480101 19480131     1.8
19480201 19480229    22.4
19480301 19480331    59.5
19480401 19480430    41.1
19480501 19480531    17.8
19480601 19480630     7.3
19480701 19480731    15.0
19480801 19480831     0.3
19480901 19480930     3.3
19481001 19481031     0.0
19481101 19481130    15.3
19481201 19481231    26.1
19490101 19490131     6.1
19490201 19490228    77.8
19490301 19490331     0.0
19490401 19490430     0.0
19490501 19490531    49.4
19490601 19490630    24.7
19490701 19490731     2.0
19490801 19490831     6.4
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130    38.1
19491201 19491231    25.4
19500101 19500131    33.6
19500201 19500228     2.5
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    40.0
19500601 19500630    10.0
19500701 19500731    10.2
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     3.8
19501101 19501130    16.7
19501201 19501231     0.0
19510101 19510131    10.9
19510201 19510228     4.6
19510301 19510331     3.1
19510401 19510430    12.5
19510501 19510531     1.0
19510601 19510630    88.3
19510701 19510731    14.8
19510801 19510831     1.5
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     9.4
19520101 19520131    53.6
19520201 19520229     9.2
19520301 19520331    13.0
19520401 19520430     5.1
19520501 19520531    98.8
19520601 19520630     8.6
19520701 19520731    13.9
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     2.5
19521101 19521130     6.1
19521201 19521231     0.0
19530101 19530131     3.8
19530201 19530228     0.0
19530301 19530331    28.8
19530401 19530430     0.0
19530501 19530531    38.1
19530601 19530630    11.7
19530701 19530731     7.1
19530801 19530831     0.0
19530901 19530930     3.8
19531001 19531031    10.2
19531101 19531130     2.0
19531201 19531231    68.3
19540101 19540131     2.0
19540201 19540228     0.0
19540301 19540331     1.8
19540401 19540430    38.1
19540501 19540531    36.8
19540601 19540630    56.4
19540701 19540731     7.4
19540801 19540831     8.9
19540901 19540930     0.0
19541001 19541031     7.4
19541101 19541130     3.3
19541201 19541231     7.9
19550101 19550131   169.1
19550201 19550228    19.0
19550301 19550331    36.0
19550401 19550430    37.5
19550501 19550531    16.8
19550601 19550630    79.8
19550701 19550731    42.0
19550801 19550831     7.9
19550901 19550930    35.0
19551001 19551031     0.0
19551101 19551130    10.2
19551201 19551231     5.6
19560101 19560131     9.7
19560201 19560229     6.6
19560301 19560331     5.6
19560401 19560430     0.0
19560501 19560531     8.6
19560601 19560630     6.9
19560701 19560731    17.7
19560801 19560831    10.2
19560901 19560930     0.0
19561001 19561031     7.4
19561101 19561130    16.8
19561201 19561231     7.1
19570101 19570131     5.4
19570201 19570228    10.2
19570301 19570331     0.8
19570401 19570430     0.0
19570501 19570531     1.8
19570601 19570630     1.9
19570701 19570731     0.0
19570801 19570831     0.8
19570901 19570930     1.5
19571001 19571031     5.6
19571101 19571130     7.4
19571201 19571231    35.3
19580101 19580131    63.5
19580201 19580228     0.0
19580301 19580331   201.2
19580401 19580430     1.5
19580501 19580531    17.2
19580601 19580630    46.5
19580701 19580731     6.9
19580801 19580831    18.9
19580901 19580930    14.4
19581001 19581031     0.5
19581101 19581130    25.6
19581201 19581231    29.0
19590101 19590131     7.5
19590201 19590228    10.3
19590301 19590331     0.8
19590401 19590430    23.4
19590501 19590531     5.1
19590601 19590630    14.1
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     6.4
19591001 19591031     0.0
19591101 19591130     1.3
19591201 19591231    19.7
19600101 19600131    46.3
19600201 19600229   203.3
19600301 19600331    44.2
19600401 19600430    12.5
19600501 19600531     0.5
19600601 19600630    19.3
19600701 19600731    15.4
19600801 19600831     0.0
19600901 19600930     4.6
19601001 19601031     2.5
19601101 19601130     2.5
19601201 19601231     0.0
19610101 19610131    31.5
19610201 19610228    50.0
19610301 19610331     5.1
19610401 19610430    33.1
19610501 19610531     4.3
19610601 19610630    10.7
19610701 19610731     0.0
19610801 19610831     1.5
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     6.6
19620101 19620131     1.0
19620201 19620228    49.3
19620301 19620331    20.3
19620401 19620430     0.0
19620501 19620531     4.3
19620601 19620630     2.0
19620701 19620731     5.6
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     1.3
19621101 19621130     0.0
19621201 19621231    10.6
19630101 19630131    22.1
19630201 19630228    73.5
19630301 19630331    63.5
19630401 19630430     3.0
19630501 19630531    17.1
19630601 19630630     5.1
19630701 19630731     4.6
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     1.3
19631101 19631130    11.7
19631201 19631231    12.9
19640101 19640131    14.7
19640201 19640229    13.2
19640301 19640331     0.0
19640401 19640430    45.2
19640501 19640531    10.4
19640601 19640630    12.7
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     3.3
19641001 19641031     0.0
19641101 19641130    23.7
19641201 19641231     0.0
19650101 19650131     3.8
19650201 19650228     7.7
19650301 19650331   165.4
19650401 19650430     0.0
19650501 19650531     8.7
19650601 19650630    35.5
19650701 19650731     0.0
19650801 19650831    76.0
19650901 19650930     0.0
19651001 19651031     3.8
19651101 19651130    66.1
19651201 19651231     3.3
19660101 19660131     7.6
19660201 19660228    77.0
19660301 19660331     7.4
19660401 19660430   107.1
19660501 19660531     1.5
19660601 19660630     2.5
19660701 19660731     0.0
19660801 19660831     9.9
19660901 19660930     0.0
19661001 19661031    11.2
19661101 19661130     6.6
19661201 19661231     3.6
19670101 19670131    25.1
19670201 19670228    80.8
19670301 19670331     0.0
19670401 19670430     1.3
19670501 19670531    57.3
19670601 19670630     1.5
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     3.3
19671101 19671130    12.2
19671201 19671231    41.4
19680101 19680131     6.4
19680201 19680229    43.7
19680301 19680331   111.1
19680401 19680430    15.2
19680501 19680531    24.4
19680601 19680630    46.3
19680701 19680731    19.6
19680801 19680831     0.0
19680901 19680930     5.8
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     9.4
19690101 19690131    17.9
19690201 19690228    47.3
19690301 19690331     0.0
19690401 19690430     0.0
19690501 19690531    46.7
19690601 19690630     2.3
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     0.0
19691101 19691130     4.8
19691201 19691231     0.0
19700101 19700131    18.5
19700201 19700228     5.1
19700301 19700331    11.0
19700401 19700430    14.3
19700501 19700531    98.5
19700601 19700630     3.8
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    13.4
19701001 19701031     0.0
19701101 19701130     0.0
19701201 19701231     6.6
19710101 19710131     0.0
19710201 19710228     0.0
19710301 19710331    17.5
19710401 19710430     0.0
19710501 19710531     0.0
19710601 19710630    86.8
19710701 19710731    11.7
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130     0.0
19711201 19711231     0.0
19720101 19720131     6.1
19720201 19720229    11.4
19720301 19720331    70.9
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630    12.2
19720701 19720731    48.7
19720801 19720831     3.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     7.1
19721201 19721231    54.9
19730101 19730131   244.1
19730201 19730228     9.1
19730301 19730331    95.8
19730401 19730430    54.2
19730501 19730531    72.4
19730601 19730630    36.9
19730701 19730731    57.3
19730801 19730831    31.4
19730901 19730930     1.0
19731001 19731031     0.0
19731101 19731130     2.8
19731201 19731231    22.0
19740101 19740131    38.4
19740201 19740228     1.8
19740301 19740331    36.8
19740401 19740430    32.8
19740501 19740531    19.0
19740601 19740630    15.8
19740701 19740731    68.4
19740801 19740831    10.6
19740901 19740930    14.6
19741001 19741031     0.0
19741101 19741130    27.4
19741201 19741231     7.0
19750101 19750131     0.0
19750201 19750228    37.0
19750301 19750331    26.2
19750401 19750430    35.2
19750501 19750531    18.8
19750601 19750630     0.0
19750701 19750731    47.0
19750801 19750831     0.0
19750901 19750930     0.0
19751001 19751031    38.6
19751101 19751130    86.2
19751201 19751231    28.4
19760101 19760131     1.2
19760201 19760229     8.6
19760301 19760331     0.0
19760401 19760430     9.4
19760501 19760531     4.4
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     8.6
19760901 19760930     2.1
19761001 19761031    11.8
19761101 19761130     0.0
19761201 19761231     9.0
19770101 19770131     7.0
19770201 19770228     0.0
19770301 19770331     3.2
19770401 19770430     3.6
19770501 19770531     9.0
19770601 19770630    13.5
19770701 19770731     0.0
19770801 19770831    23.0
19770901 19770930     3.0
19771001 19771031     0.0
19771101 19771130     0.0
19771201 19771231    77.2
19780101 19780131    25.6
19780201 19780228    59.0
19780301 19780331     8.0
19780401 19780430     4.4
19780501 19780531     0.0
19780601 19780630     4.8
19780701 19780731     2.2
19780801 19780831    32.2
19780901 19780930     0.0
19781001 19781031    30.6
19781101 19781130    29.2
19781201 19781231    22.0
19790101 19790131     9.0
19790201 19790228    65.2
19790301 19790331    19.0
19790401 19790430     4.2
19790501 19790531     7.6
19790601 19790630     2.0
19790701 19790731     0.0
19790801 19790831    12.2
19790901 19790930     6.2
19791001 19791031     0.0
19791101 19791130     0.0
19791201 19791231    37.0
19800101 19800131     0.0
19800201 19800229   231.2
19800301 19800331     0.0
19800401 19800430    77.0
19800501 19800531    17.8
19800601 19800630    33.8
19800701 19800731    41.9
19800801 19800831     1.6
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130    10.8
19801201 19801231     0.0
19810101 19810131     9.0
19810201 19810228    49.0
19810301 19810331    15.6
19810401 19810430     0.0
19810501 19810531    22.0
19810601 19810630     2.0
19810701 19810731     5.4
19810801 19810831     5.0
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     6.0
19811201 19811231    32.4
19820101 19820131    40.4
19820201 19820228    29.0
19820301 19820331     1.0
19820401 19820430    11.0
19820501 19820531    41.0
19820601 19820630     6.2
19820701 19820731     0.0
19820801 19820831     6.8
19820901 19820930    22.4
19821001 19821031     5.0
19821101 19821130    36.2
19821201 19821231    16.6
19830101 19830131     0.0
19830201 19830228     7.2
19830301 19830331    99.2
19830401 19830430    56.4
19830501 19830531     0.0
19830601 19830630    25.2
19830701 19830731     2.4
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130    48.2
19831201 19831231    25.4
19840101 19840131     7.2
19840201 19840229     0.0
19840301 19840331    10.6
19840401 19840430     0.0
19840501 19840531    80.2
19840601 19840630     0.0
19840701 19840731    52.8
19840801 19840831     5.8
19840901 19840930    24.1
19841001 19841031     0.0
19841101 19841130     1.4
19841201 19841231    23.2
19850101 19850131    28.8
19850201 19850228    35.3
19850301 19850331    17.8
19850401 19850430    11.2
19850501 19850531    22.6
19850601 19850630     0.0
19850701 19850731    39.6
19850801 19850831     5.8
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130    32.0
19851201 19851231     0.0
19860101 19860131    23.8
19860201 19860228     6.8
19860301 19860331     8.2
19860401 19860430     0.0
19860501 19860531     0.0
19860601 19860630    49.2
19860701 19860731    28.4
19860801 19860831     0.0
19860901 19860930    20.2
19861001 19861031     6.2
19861101 19861130     0.0
19861201 19861231     9.2
19870101 19870131   126.4
19870201 19870228    56.0
19870301 19870331    23.8
19870401 19870430    23.8
19870501 19870531     8.0
19870601 19870630    50.2
19870701 19870731     0.0
19870801 19870831     7.4
19870901 19870930     2.2
19871001 19871031     0.0
19871101 19871130     0.0
19871201 19871231    52.2
19880101 19880131    11.0
19880201 19880229     8.0
19880301 19880331     7.0
19880401 19880430     8.8
19880501 19880531    69.8
19880601 19880630     2.0
19880701 19880731     7.2
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130     5.2
19881201 19881231    81.0
19890101 19890131    16.2
19890201 19890228     4.9
19890301 19890331     3.0
19890401 19890430    56.6
19890501 19890531    16.4
19890601 19890630    45.2
19890701 19890731     6.4
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130     7.6
19891201 19891231     0.0
19900101 19900131    53.6
19900201 19900228    36.8
19900301 19900331    31.6
19900401 19900430     0.0
19900501 19900531     9.8
19900601 19900630     6.0
19900701 19900731    14.0
19900801 19900831    18.0
19900901 19900930     0.0
19901001 19901031     7.2
19901101 19901130     0.0
19901201 19901231     0.0
19910101 19910131     0.0
19910201 19910228     0.0
19910301 19910331     0.0
19910401 19910430    11.0
19910501 19910531     2.4
19910601 19910630    60.4
19910701 19910731    14.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130     0.0
19911201 19911231     0.4
19920101 19920131    28.6
19920201 19920229     8.2
19920301 19920331   100.2
19920401 19920430   141.4
19920501 19920531    30.6
19920601 19920630    65.6
19920701 19920731     1.0
19920801 19920831     7.6
19920901 19920930    11.0
19921001 19921031    15.8
19921101 19921130    15.0
19921201 19921231     0.0
19930101 19930131 99999.9
19930201 19930228 99999.9
19930301 19930331 99999.9
19930401 19930430 99999.9
19930501 19930531 99999.9
19930601 19930630 99999.9
19930701 19930731 99999.9
19930801 19930831 99999.9
19930901 19930930 99999.9
19931001 19931031 99999.9
19931101 19931130 99999.9
19931201 19931231 99999.9
19940101 19940131     2.8
19940201 19940228    57.0
19940301 19940331     9.4
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    15.2
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130     5.0
19941201 19941231     0.0
19950101 19950131    21.6
19950201 19950228   416.2
19950301 19950331     0.0
19950401 19950430    29.2
19950501 19950531    12.0
19950601 19950630    20.7
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031     0.0
19951101 19951130     0.0
19951201 19951231    82.4
19960101 19960131     0.0
19960201 19960229     0.0
19960301 19960331    39.8
19960401 19960430    75.4
19960501 19960531     0.0
19960601 19960630    89.6
19960701 19960731    66.8
19960801 19960831     5.6
19960901 19960930     0.0
19961001 19961031    10.2
19961101 19961130     0.0
19961201 19961231    92.4
19970101 19970131   104.2
19970201 19970228   109.4
19970301 19970331    24.6
19970401 19970430    18.9
19970501 19970531    63.2
19970601 19970630     5.0
19970701 19970731    12.0
19970801 19970831    39.6
19970901 19970930    10.5
19971001 19971031     0.0
19971101 19971130     0.0
19971201 19971231     0.0
19980101 19980131    12.4
19980201 19980228     3.4
19980301 19980331    11.2
19980401 19980430    38.2
19980501 19980531     3.6
19980601 19980630    59.4
19980701 19980731    30.0
19980801 19980831     0.0
19980901 19980930    26.0
19981001 19981031     7.2
19981101 19981130    22.1
19981201 19981231    19.1
19990101 19990131     4.0
19990201 19990228   123.6
19990301 19990331    83.1
19990401 19990430     0.0
19990501 19990531    20.3
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930    12.0
19991001 19991031    16.0
19991101 19991130    49.0
19991201 19991231    20.0
20000101 20000131   233.0
20000201 20000229    43.2
20000301 20000331   173.8
20000401 20000430    46.2
20000501 20000531     0.0
20000601 20000630     2.0
20000701 20000731     5.0
20000801 20000831     5.4
20000901 20000930     0.0
20001001 20001031     0.0
20001101 20001130     0.0
20001201 20001231    31.8
20010101 20010131     0.0
20010201 20010228   101.0
20010301 20010331     0.0
20010401 20010430    45.0
20010501 20010531    53.7
20010601 20010630     0.0
20010701 20010731     4.8
20010801 20010831     0.0
20010901 20010930     3.5
20011001 20011031    39.2
20011101 20011130    10.2
20011201 20011231    32.8
20020101 20020131    98.6
20020201 20020228    60.6
20020301 20020331    27.6
20020401 20020430     0.0
20020501 20020531     8.0
20020601 20020630    14.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130     8.0
20021201 20021231    54.8
20030101 20030131    40.8
20030201 20030228    98.2
20030301 20030331    33.0
20030401 20030430   113.0
20030501 20030531     0.0
20030601 20030630     6.0
20030701 20030731     0.0
20030801 20030831     2.2
20030901 20030930     0.0
20031001 20031031     0.0
20031101 20031130    35.4
20031201 20031231     0.0
20040101 20040131     0.0
20040201 20040229    64.8
20040301 20040331    66.0
20040401 20040430    92.2
20040501 20040531    36.6
20040601 20040630     1.4
20040701 20040731    20.4
20040801 20040831     0.0
20040901 20040930     8.2
20041001 20041031    37.4
20041101 20041130    41.4
20041201 20041231    21.0
20050101 20050131     0.0
20050201 20050228     0.0
20050301 20050331    14.6
20050401 20050430     0.0
20050501 20050531    12.6
20050601 20050630     0.0
20050701 20050731    27.0
20050801 20050831    10.0
20050901 20050930     0.0
20051001 20051031     0.0
20051101 20051130     0.0
20051201 20051231    14.0
20060101 20060131   206.2
20060201 20060228    62.2
20060301 20060331    47.8
20060401 20060430    26.0
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731     1.2
20060801 20060831     0.0
20060901 20060930    16.3
20061001 20061031    41.2
20061101 20061130    36.4
20061201 20061231    78.2
20070101 20070131    49.2
20070201 20070228    14.2
20070301 20070331    76.6
20070401 20070430    74.6
20070501 20070531     7.0
20070601 20070630     0.0
20070701 20070731     4.6
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031     9.0
20071101 20071130     2.0
20071201 20071231    31.5
20080101 20080131     5.6
20080201 20080229    56.2
20080301 20080331     0.0
20080401 20080430     6.9
20080501 20080531     0.0
20080601 20080630     0.0
20080701 20080731     0.0
20080801 20080831     0.0
20080901 20080930 99999.9
20081001 20081031     0.0
20081101 20081130 99999.9
20081201 20081231 99999.9
20090101 20090131     0.0
20090201 20090228     8.0
20090301 20090331    51.9
20090401 20090430    25.0
20090501 20090531     0.0
20090601 20090630     8.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     3.5
20091001 20091031     2.6
20091101 20091130    16.0
20091201 20091231     7.6
20100101 20100131    19.8
20100201 20100228     0.0
20100301 20100331    28.0
20100401 20100430    13.6
20100501 20100531     0.0
20100601 20100630    14.2
20100701 20100731     0.0
20100801 20100831     4.0
20100901 20100930     0.0
20101001 20101031     0.0
20101101 20101130     0.0
20101201 20101231    24.0
20110101 20110131    26.0
20110201 20110228   159.8
20110301 20110331    44.8
20110401 20110430    17.0
20110501 20110531     0.0
20110601 20110630     0.0
20110701 20110731    17.0
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031     7.0
20111101 20111130    90.8
20111201 20111231    35.8
20120101 20120131    72.6
20120201 20120229    28.4
20120301 20120331    72.6
20120401 20120430     0.0
20120501 20120531     5.0
20120601 20120630     7.2
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930     0.0
20121001 20121031     0.0
20121101 20121130    36.8
20121201 20121231    31.2
20130101 20130131    30.8
20130201 20130228     0.0
20130301 20130331    99.0
20130401 20130430     9.6
20130501 20130531     6.5
20130601 20130630    28.6
20130701 20130731     0.0
20130801 20130831     0.0
20130901 20130930     7.4
20131001 20131031     0.0
20131101 20131130     5.0
20131201 20131231    43.0
20140101 20140131   138.5
20140201 20140228   100.2
20140301 20140331    15.4
20140401 20140430     0.0
20140501 20140531     9.4
20140601 20140630     0.0
20140701 20140731     0.0
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031    44.6
20141101 20141130    23.4
20141201 20141231    18.4
20150101 20150131    29.0
20150201 20150228    12.4
20150301 20150331   110.0
20150401 20150430    18.2
20150501 20150531    37.1
20150601 20150630     0.0
20150701 20150731     0.0
20150801 20150831     0.0
20150901 20150930     0.0
20151001 20151031    28.0
20151101 20151130     2.0
20151201 20151231    10.0
20160101 20160131    37.6
20160201 20160229    48.8
20160301 20160331    45.0
20160401 20160430     2.0
20160501 20160531    13.4
20160601 20160630    31.6
20160701 20160731    23.2
